agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,alumnos_psu,psu_lenguaje,psu_matematica,psu_nem,alumnos_psu_lenguaje,alumnos_psu_matematica,alumnos_psu_nem
2011,1,LICEO POLITECNICO ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48701531,-70.29450564,70,395,402,552,71,70,71
2011,4,LICEO OCTAVIO PALMA PEREZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47420668,-70.30826392,303,513,530,638,303,303,304
2011,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47681892,-70.31337859,54,440,428,519,54,54,51
2011,7,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47597064,-70.28821040,122,389,407,566,122,122,122
2011,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48231969,-70.31761582,52,469,477,527,53,52,52
2011,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47439094,-70.30906079,14,436,405,491,14,14,14
2011,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47209843,-70.30079524,24,453,442,535,24,24,24
2011,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48505614,-70.29425417,32,414,377,520,34,32,33
2011,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.51926404,-70.17873779,8,415,459,580,8,8,8
2011,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.48297530,-70.31429675,51,496,520,550,51,51,51
2011,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.49332083,-70.27077136,29,443,490,550,29,29,29
2011,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46852853,-70.30350503,271,458,482,548,272,271,270
2011,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46710400,-70.30172348,75,512,542,557,75,75,75
2011,59,COLEGIO SAN JORGE,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Pagado,Urbano,Funcionando,-18.50215027,-70.24618206,40,558,570,629,40,40,40
2011,60,COLEGIO ALEMAN DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.49203409,-70.28068741,35,490,501,595,35,35,35
2011,67,ABRAHAM LINCOLN SCHOOL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.48146053,-70.31511859,24,536,538,620,24,24,24
2011,69,JUNIOR COLLEGE,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Pagado,Urbano,Funcionando,-18.46383140,-70.29136776,47,585,593,638,47,47,47
2011,78,LICEO GRANADEROS,PUTRE,Parinacota,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.19582435,-69.56192860,4,371,483,535,4,4,4
2011,97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,Iquique,DE TARAPAC?,1,Municipal,Urbano,Funcionando,-20.21967622,-70.15315448,57,427,413,536,57,57,57
2011,103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,IQUIQUE,Iquique,DE TARAPAC?,1,Municipal,Urbano,Funcionando,-20.22075631,-70.13855603,21,452,440,595,21,21,21
2011,106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,IQUIQUE,Iquique,DE TARAPAC?,1,Administracion Delegada,Rural,Funcionando,-20.29401349,-70.12724453,21,415,415,528,21,21,21
2011,107,LICEO LIBERT. GRAL.BERNARDO O?HIGGINS,IQUIQUE,Iquique,DE TARAPAC?,1,Municipal,Urbano,Funcionando,-20.21983547,-70.15229421,154,483,493,558,155,154,153
2011,108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,IQUIQUE,Iquique,DE TARAPAC?,1,Municipal,Urbano,Funcionando,-20.22579486,-70.14872947,48,387,383,535,50,48,50
